hackathon_name,project_name,project_link,winner
HackHarvard 2024,CareCost,https://devpost.com/software/carecost-e6gpb3,FALSE
HackHarvard 2024,ConnectHealth,https://devpost.com/software/connecthealth-d3ywha,FALSE
HackHarvard 2024,Trashure Hunt,https://devpost.com/software/trashure-hunt-7x6241,FALSE
HackHarvard 2024,Optimized Trash Disposal System,https://devpost.com/software/optimized-trash-disposal-system,FALSE
HackHarvard 2024,WanderWays,https://devpost.com/software/wanderways,FALSE
HackHarvard 2024,Eye In The Sky,https://devpost.com/software/eye-in-the-sky-sqol5g,FALSE
HackHarvard 2024,Recycletron,https://devpost.com/software/recycletron-498ozq,FALSE
HackHarvard 2024,FNAF VR,https://devpost.com/software/fnaf-vr,FALSE
HackHarvard 2024,Med-O-Matic,https://devpost.com/software/medicinermanager,FALSE
HackHarvard 2024,POCKET-HELPER,https://devpost.com/software/pocket-helper,FALSE
HackHarvard 2024,HookBook,https://devpost.com/software/hookbook,FALSE
HackHarvard 2024,Mental Health App,https://devpost.com/software/mental-health-app-u4z9rf,FALSE
HackHarvard 2024,Fish Outta Water,https://devpost.com/software/fish-thing,FALSE
HackHarvard 2024,friday,https://devpost.com/software/friday-5ix4ro,FALSE
HackKU25,DocDoc Goose,https://devpost.com/software/docdocgoose,TRUE
HackKU25,SafeStep,https://devpost.com/software/safestep-nv67j1,TRUE
HackKU25,EirAI,https://devpost.com/software/eirai,TRUE
HackKU25,Git Lucky,https://devpost.com/software/git-lucky,TRUE
HackKU25,MindClash,https://devpost.com/software/mindclash-haltev,TRUE
HackKU25,The Note Distillery,https://devpost.com/software/the-note-distillery,TRUE
HackKU25,Monster Muscles,https://devpost.com/software/monster-muscles,TRUE
HackKU25,"Get Big, Man",https://devpost.com/software/get-big-man,TRUE
HackKU25,TARS,https://devpost.com/software/tars-1b3cwz,TRUE
HackKU25,Dream Dragon,https://devpost.com/software/dream-dragon,TRUE
HackKU25,Souperb,https://devpost.com/software/souperb,TRUE
HackKU25,medIQ,https://devpost.com/software/mediq-2gs7ct,TRUE
HackKU25,FoodSafe,https://devpost.com/software/foodsafe,TRUE
HackKU25,PeTAI,https://devpost.com/software/petai,TRUE
HackKU25,Let's Eat!,https://devpost.com/software/app-3-6kxg4q,TRUE
HackKU25,CreditNexus,https://devpost.com/software/creditnexus,TRUE
HackKU25,Renmo,https://devpost.com/software/renmo,TRUE
HackKU25,Decora,https://devpost.com/software/ar-room-builder,TRUE
HackKU25,DUZK,https://devpost.com/software/duzk-guard,TRUE
HackKU25,spot-a-song,https://devpost.com/software/spot-a-song-ufcm9k,TRUE
HackKU25,bldr,https://devpost.com/software/bldr,TRUE
HackKU25,Hack Draw,https://devpost.com/software/hack-draw,TRUE
HackKU25,RustBucket,https://devpost.com/software/rustbucket,FALSE
HackKU25,Fireball Clicker,https://devpost.com/software/fireball-clicker,FALSE
HackKU25,Road to Recovery,https://devpost.com/software/road-to-rehab,FALSE
HackKU25,Merlin - Your personal wizard assistant,https://devpost.com/software/merlin-p2kahm,FALSE
HackKU25,Medi ErrSaver,https://devpost.com/software/medicine-error-detection-companion,FALSE
HackKU25,The Phog Log,https://devpost.com/software/the-phog-log,FALSE
HackKU25,CarGoo 2,https://devpost.com/software/dr-obd,FALSE
HackKU25,GrocerGPT,https://devpost.com/software/grocergpt,FALSE
HackKU25,Calculator for Miller Unit Values,https://devpost.com/software/miller-unit-values-for-galactosidase,FALSE
HackKU25,OWL - Observational Watch Log,https://devpost.com/software/owl-observational-watch-log,FALSE
HackKU25,GuideBuddy - Interactive Speech Medicare Assistant,https://devpost.com/software/guidebuddy-interactive-speech-medicare-assistant,FALSE
HackKU25,NetCode,https://devpost.com/software/netcode,FALSE
HackKU25,muscle maker,https://devpost.com/software/muscle-maker,FALSE
HackKU25,Sigma Nurse,https://devpost.com/software/sigma-nurse,FALSE
HackKU25,CashCraft,https://devpost.com/software/cashcraft,FALSE
HackKU25,Attendr,https://devpost.com/software/attendr-wdm147,FALSE
HackKU25,TeroSecureMD,https://devpost.com/software/terosmd,FALSE
HackKU25,Mr. J,https://devpost.com/software/mr-j-ikgsqr,FALSE
HackKU25,SideKick AI,https://devpost.com/software/sidekick-ai,FALSE
HackKU25,DepressoBot,https://devpost.com/software/depressobot,FALSE
HackKU25,Galdoran,https://devpost.com/software/galdoran,FALSE
HackKU25,GoodMoodFood,https://devpost.com/software/goodmoodfood,FALSE
HackKU25,ThriveTogether,https://devpost.com/software/thrivetogether-dye67f,FALSE
HackKU25,Dopamine Tracker: Reward System Detox App,https://devpost.com/software/dopamine-tracker-reward-system-detox-app,FALSE
HackKU25,Claria,https://devpost.com/software/smartpitch-o5x8pf,FALSE
HackKU25,Workout Warriors,https://devpost.com/software/workout-warriors,FALSE
HackKU25,Rate My Roommate,https://devpost.com/software/ratemyroommate,FALSE
HackKU25,IBD Tracker,https://devpost.com/software/ibd-tracker,FALSE
HackKU25,Flanner - AI meal planner,https://devpost.com/software/flanner-ai-meal-planner,FALSE
HackKU25,Hardware Shenanigans - CRT Restoration,https://devpost.com/software/hardware-shenanigans-crt-restoration,FALSE
HackKU25,ObsCurity,https://devpost.com/software/obscurity,FALSE
HackKU25,peerGig,https://devpost.com/software/peergig,FALSE
HackKU25,ReLode,https://devpost.com/software/relode,FALSE
HackKU25,Polar Lizard,https://devpost.com/software/polar-lizard,FALSE
HackKU25,Moodi,https://devpost.com/software/moodi-57qipx,FALSE
HackKU25,AI Driven Text-Based RPG Discord Bot,https://devpost.com/software/ai-driven-text-based-rpg-discord-bot,FALSE
HackKU25,LinguaSwap,https://devpost.com/software/linguaswap-1w5pef,FALSE
HackKU25,Recall,https://devpost.com/software/recall-1hf7rq,FALSE
HackKU25,Price Aware+,https://devpost.com/software/price-aware,FALSE
HackKU25,MOOD-AI,https://devpost.com/software/mood-ai-cnlgyq,FALSE
HackKU25,EZRead,https://devpost.com/software/ezread-kc4ef2,FALSE
HackKU25,Gnomtastic Gnomular Quest: Those Who Gnome,https://devpost.com/software/gnomtastic-gnomular-quest-those-who-gnome,FALSE
HackKU25,Goose Guide,https://devpost.com/software/ar-goose-chase,FALSE
HackKU25,MyFolio,https://devpost.com/software/myfolio-cqj5lk,FALSE
HackKU25,BloodLens,https://devpost.com/software/bloodlens,FALSE
HackKU25,Budget Meal Maker,https://devpost.com/software/budget-meal-maker,FALSE
HackKU25,Hack it Up,https://devpost.com/software/hack-it-up,FALSE
HackKU25,Git Guru,https://devpost.com/software/git-guru,FALSE
HackKU25,Stravive,https://devpost.com/software/stravive,FALSE
HackKU25,CineME: Personalized Film Trivia,https://devpost.com/software/cineme-trivia,FALSE
HackKU25,Recipe Arsenal,https://devpost.com/software/recipe-arsenal,FALSE
HackKU25,JARVIS,https://devpost.com/software/jarvis-5u2lsg,FALSE
HackKU25,TrustRipple,https://devpost.com/software/trustripple,FALSE
HackKU25,Jarvis,https://devpost.com/software/jarvis-hn3i0y,FALSE
HackKU25,The Queens Gamble,https://devpost.com/software/the-queens-gamble,FALSE
HackKU25,HealthWise,https://devpost.com/software/healthwise-8m7rtf,FALSE
HackKU25,PillowPath,https://devpost.com/software/pillowpath,FALSE
HackKU25,Aptly,https://devpost.com/software/aptly-gqwsv8,FALSE
HackKU25,Marcotics Marcollectibles,https://devpost.com/software/marcotics-marcollectibles,FALSE
HackKU25,Schedule Builder,https://devpost.com/software/schedule-builder-vk86eo,FALSE
HackKU25,Repo Runner,https://devpost.com/software/repo-runner,FALSE
HackKU25,TransparentCare,https://devpost.com/software/transparentcare,FALSE
HackKU25,FitTrack,https://devpost.com/software/fittrack-o7le3n,FALSE
HackKU25,nAIvAIgAItor,https://devpost.com/software/naivaigaitor,FALSE
HackKU25,Rusty Zelda,https://devpost.com/software/rusty-zelda,FALSE
HackKU25,Poker?,https://devpost.com/software/poker-2yr4gf,FALSE
HackKU25,CalorieCounter,https://devpost.com/software/calorie-counter-0x1b8j,FALSE
HackKU25,Cyber Office Chronicles,https://devpost.com/software/cyber-office-chronicles,FALSE
HackKU25,Flood Escape,https://devpost.com/software/flood-escape,FALSE
HackKU25,Bee tamagotchi,https://devpost.com/software/bee-tamagotchi,FALSE
HackKU25,Media Oracle,https://devpost.com/software/movie-oracle,FALSE
HackKU25,PocketZen WebXR,https://devpost.com/software/pocketzen-webxr,FALSE
HackKU25,FormulaBot,https://devpost.com/software/formulabot,FALSE
HackKU25,MedTrack,https://devpost.com/software/medtrack-76o2rg,FALSE
HackNC 2024,Unplugged,https://devpost.com/software/unplugged-githlb,TRUE
HackNC 2024,Car Thang,https://devpost.com/software/car-thang,TRUE
HackNC 2024,fairLends,https://devpost.com/software/new-ycwrgv,TRUE
HackNC 2024,LocalVoice,https://devpost.com/software/local-elections-matter,TRUE
HackNC 2024,Magic Missiles,https://devpost.com/software/magic-missiles,TRUE
HackNC 2024,Give Me Some Space!,https://devpost.com/software/give-me-some-space,TRUE
HackNC 2024,EchoAlert,https://devpost.com/software/echoalert-vo8tgy,TRUE
HackNC 2024,FLUNC - Financial Literacy at UNC,https://devpost.com/software/flunc-financial-literacy-at-unc,TRUE
HackNC 2024,Aurora,https://devpost.com/software/finance-nuk9id,TRUE
HackNC 2024,Pragma,https://devpost.com/software/pragma-hx4nk6,TRUE
